protocol,ra_mode,window_setting,method,bank_seed,accuracy_mean,balanced_accuracy_mean,balanced_accuracy_median,balanced_accuracy_std,n_subjects
loso,no_ra,W1,B5,0.0,0.3929398148148148,0.39293981481481477,0.3559027777777778,0.11952718387540627,9
loso,no_ra,W1,B5,1.0,0.40586419753086417,0.40586419753086417,0.3871527777777777,0.13434341930392765,9
loso,no_ra,W1,B5,2.0,0.39120370370370366,0.39120370370370366,0.3472222222222222,0.13502659274549142,9
loso,no_ra,W1,B5,3.0,0.3894675925925926,0.3894675925925926,0.375,0.12323026243212139,9
loso,no_ra,W1,B5,4.0,0.39448302469135804,0.39448302469135804,0.3715277777777777,0.1251077906731742,9
loso,no_ra,W1,P1,0.0,0.36844135802469136,0.36844135802469136,0.3194444444444444,0.13025397862490268,9
loso,no_ra,W1,P1,1.0,0.3759645061728395,0.3759645061728395,0.3315972222222222,0.14273407464367485,9
loso,no_ra,W1,P1,2.0,0.3688271604938272,0.3688271604938272,0.375,0.10778618642722748,9
loso,no_ra,W1,P1,3.0,0.38580246913580246,0.38580246913580246,0.3211805555555556,0.13839369670021526,9
loso,no_ra,W1,P1,4.0,0.3591820987654321,0.3591820987654321,0.2847222222222222,0.12209208160659821,9
loso,no_ra,W1,P2,0.0,0.3715277777777778,0.3715277777777778,0.3559027777777778,0.09861890496391078,9
loso,no_ra,W1,P2,1.0,0.38078703703703703,0.380787037037037,0.3541666666666667,0.11228827921263175,9
loso,no_ra,W1,P2,2.0,0.39023919753086417,0.39023919753086417,0.3802083333333333,0.11179995409057034,9
loso,no_ra,W1,P2,3.0,0.36824845679012347,0.3682484567901234,0.3680555555555556,0.10273702256996499,9
loso,no_ra,W1,P2,4.0,0.38252314814814814,0.38252314814814814,0.3802083333333333,0.10519601367180349,9
loso,no_ra,W2,B5,0.0,0.37885802469135804,0.37885802469135804,0.3559027777777778,0.11411473579358652,9
loso,no_ra,W2,B5,1.0,0.38850308641975306,0.38850308641975306,0.3420138888888889,0.1226595912550683,9
