setting,status,within_trial_dispersion,between_trial_dispersion,within_to_between_ratio,ratio_within,isotropic_fraction,traceless_shape_fraction,pca_effective_rank,pc1_fraction,descriptive_only,stop_rule,subject
W1,VALID,3.8347358397712887,4.900484010130799,0.7825218553603516,0.43899706082546647,0.10157969940719914,0.8984203005928009,40.06218986046248,0.12612493771155472,True,numerical_invalidity_only,all
W1,VALID,3.4125358459863753,2.1467558467913452,1.5896245728581253,0.6138436395448948,0.08649050825501202,0.913509491744988,46.939014618550495,0.10824657888258654,True,numerical_invalidity_only,1
W1,VALID,3.072549499658642,3.961243863742714,0.7756527003504389,0.436826807515545,0.11660740098192816,0.8833925990180719,29.811176562296733,0.15608161336293197,True,numerical_invalidity_only,2
W1,VALID,3.5627350778817704,2.775874903823328,1.283463845209547,0.5620688271032236,0.08630264444809523,0.9136973555519048,36.7655941105203,0.11668360141010534,True,numerical_invalidity_only,3
W1,VALID,3.1658988031787048,1.689530169508363,1.8738338387292313,0.65203277011931,0.0985099348976006,0.9014900651023994,41.32406971342724,0.12231552636994912,True,numerical_invalidity_only,4
W1,VALID,3.0303615868933,2.1296193289614838,1.4229592799437383,0.5872815493526494,0.0915522343057336,0.9084477656942664,43.38465591620371,0.12118709365602924,True,numerical_invalidity_only,5
W1,VALID,5.063758710207495,2.7719078162569537,1.8268135327261144,0.6462447952710828,0.10173739092520707,0.8982626090747929,37.550026493621345,0.12974776736464713,True,numerical_invalidity_only,6
W1,VALID,3.730231106358515,1.9573166049174975,1.9057883108878788,0.6558593080393923,0.10601863630076006,0.89398136369924,41.814252328482226,0.12591155077686997,True,numerical_invalidity_only,7
W1,VALID,3.6645306169364336,2.111309639215723,1.7356670707465143,0.6344584431733801,0.09434027706260495,0.905659722937395,32.35527608407812,0.12928364760388203,True,numerical_invalidity_only,8
W1,VALID,5.810021310840359,3.052852574110356,1.9031450650817885,0.6555459759735336,0.120344668396752,0.879655331603248,25.503358991535162,0.15759708839160275,True,numerical_invalidity_only,9
W2,VALID,3.9132406119846546,4.82503180369714,0.8110289778786881,0.4478277199234384,0.10295723430206825,0.8970427656979317,39.02182564848695,0.12820548280322464,True,numerical_invalidity_only,all
W2,VALID,3.4787636204687096,2.0307112701197054,1.7130764336889925,0.6314147336275774,0.08553226454445986,0.9144677354555402,45.97150023469494,0.10826932224790414,True,numerical_invalidity_only,1
W2,VALID,3.1316768851609487,3.9540350756547635,0.7920205120189437,0.4419706731630152,0.11739522958262409,0.882604770417376,29.339070497850873,0.15714954799427186,True,numerical_invalidity_only,2
W2,VALID,3.6521325585390096,2.665996745579557,1.369893854744777,0.5780401734035916,0.08736767900828941,0.9126323209917105,35.04335181100906,0.120502219785167,True,numerical_invalidity_only,3
W2,VALID,3.2309126066225886,1.6427516882119022,1.966768702663373,0.662932941451666,0.10050244131572376,0.8994975586842763,39.926934579589705,0.12523059200177145,True,numerical_invalidity_only,4
W2,VALID,3.085996792085974,2.0675097775546614,1.4926153315395314,0.5988149525733828,0.09321894547091165,0.9067810545290883,41.68440644061295,0.12420511875939942,True,numerical_invalidity_only,5
W2,VALID,5.193080131101336,2.67330905707816,1.9425663177070907,0.660160590440245,0.10614159470090853,0.8938584052990914,34.91554005482797,0.13652985441958365,True,numerical_invalidity_only,6
W2,VALID,3.78926635186774,1.8813761048416724,2.0140929514923473,0.6682252285866377,0.10781346999855342,0.8921865300014465,40.22231715205513,0.1283298249260583,True,numerical_invalidity_only,7
W2,VALID,3.730001271449799,2.010610009378068,1.855159008485978,0.6497568096810566,0.09333797321469321,0.9066620267853068,32.37805268586093,0.127750519708442,True,numerical_invalidity_only,8
W2,VALID,5.927335290565786,2.8916161379815826,2.049834766347378,0.6721133842940463,0.12172832254774078,0.8782716774522592,24.539824658315087,0.16141678680482063,True,numerical_invalidity_only,9
