protocol,ra_mode,window_setting,covariance_estimator,bank_seed,aggregation,subject,session_train,session_test,method,accuracy,balanced_accuracy,classifier_or_pooled_measure_fitting_time_seconds,inference_time_seconds,amortized_inference_seconds_per_trial,fold_id,n_train_trials,n_test_trials,transductive_calibration
loso,subject_ra,W1,oas_trace_eps1e-6,,trial_tangent,8,all,all,B1,0.6909722222222222,0.6909722222222222,3.4383118520490825,0.04758316813968122,8.260966690916878e-05,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,,airm_nearest_class_mean,8,all,all,B2,0.6736111111111112,0.6736111111111112,2.593708504922688,0.21212085895240307,0.0003682653801256998,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,,mean_decision_score,8,all,all,B3,0.6701388888888888,0.6701388888888888,25.41861195396632,0.44488108810037374,0.00077236300017426,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,,majority_vote_secondary,8,all,all,B3_majority,0.6458333333333334,0.6458333333333334,0.0,0.0,0.0,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,,mean_window_log_svec,8,all,all,B4,0.6875,0.6875,0.10240338207222521,0.0016964329406619072,2.9451960775380335e-06,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,0.0,mean_std_projection_moments,8,all,all,B5,0.6631944444444444,0.6631944444444444,0.16774402605369687,0.002652187133207917,4.60449155070819e-06,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,0.0,exact_sorted_order_statistics,8,all,all,P2,0.5885416666666666,0.5885416666666666,2.1051117461174726,0.007146318908780813,1.24068036610778e-05,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,0.0,pooled_class_measure,8,all,all,P1,0.7083333333333334,0.7083333333333333,0.07021956401877105,11.558518461883068,0.020066872329658106,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,1.0,mean_std_projection_moments,8,all,all,B5,0.6892361111111112,0.6892361111111112,0.1408007659483701,0.0020588140469044447,3.574329942542439e-06,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,1.0,exact_sorted_order_statistics,8,all,all,P2,0.6163194444444444,0.6163194444444444,1.6691149109974504,0.0066468489822000265,1.1539668371875046e-05,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,1.0,pooled_class_measure,8,all,all,P1,0.6788194444444444,0.6788194444444444,0.06245574587956071,10.470650856150314,0.01817821329192763,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,2.0,mean_std_projection_moments,8,all,all,B5,0.7309027777777778,0.7309027777777778,0.15299638104625046,0.002514424966648221,4.365321122653161e-06,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,2.0,exact_sorted_order_statistics,8,all,all,P2,0.6545138888888888,0.6545138888888888,1.7731415340676904,0.0069958309177309275,1.2145539787727304e-05,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,2.0,pooled_class_measure,8,all,all,P1,0.6805555555555556,0.6805555555555555,0.06920271110720932,10.655558921862394,0.018499234239344433,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,3.0,mean_std_projection_moments,8,all,all,B5,0.6631944444444444,0.6631944444444444,0.1476148220244795,0.0023233608808368444,4.033612640341744e-06,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,3.0,exact_sorted_order_statistics,8,all,all,P2,0.5815972222222222,0.5815972222222222,1.702000689227134,0.0063505759462714195,1.102530546227677e-05,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,3.0,pooled_class_measure,8,all,all,P1,0.6701388888888888,0.6701388888888888,0.07148162089288235,10.883839078014717,0.018895553954886662,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,4.0,mean_std_projection_moments,8,all,all,B5,0.6753472222222222,0.6753472222222223,0.1493922600056976,0.002216645982116461,3.848343718952189e-06,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,4.0,exact_sorted_order_statistics,8,all,all,P2,0.6267361111111112,0.6267361111111112,1.8230378348380327,0.007313216105103493,1.2696555738026897e-05,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,4.0,pooled_class_measure,8,all,all,P1,0.6649305555555556,0.6649305555555556,0.07148824003525078,10.23509525298141,0.017769262591981614,0,4608,576,True
