protocol,ra_mode,window_setting,covariance_estimator,bank_seed,aggregation,subject,session_train,session_test,method,accuracy,balanced_accuracy,classifier_or_pooled_measure_fitting_time_seconds,inference_time_seconds,amortized_inference_seconds_per_trial,fold_id,n_train_trials,n_test_trials,transductive_calibration
loso,no_ra,W2,oas_trace_eps1e-6,,trial_tangent,9,all,all,B1,0.3975694444444444,0.3975694444444445,3.513290753122419,0.05376054998487234,9.333428816818114e-05,0,4608,576,False
loso,no_ra,W2,oas_trace_eps1e-6,,airm_nearest_class_mean,9,all,all,B2,0.2673611111111111,0.2673611111111111,2.821963056921959,0.19923271401785314,0.00034589012850321725,0,4608,576,False
loso,no_ra,W2,oas_trace_eps1e-6,,mean_decision_score,9,all,all,B3,0.3854166666666667,0.38541666666666663,14.44303717999719,0.22685273783281446,0.0003938415587375251,0,4608,576,False
loso,no_ra,W2,oas_trace_eps1e-6,,majority_vote_secondary,9,all,all,B3_majority,0.4236111111111111,0.4236111111111111,0.0,0.0,0.0,0,4608,576,False
loso,no_ra,W2,oas_trace_eps1e-6,,mean_window_log_svec,9,all,all,B4,0.4375,0.4375,0.11351573001593351,0.0018599808681756258,3.229133451693795e-06,0,4608,576,False
loso,no_ra,W2,oas_trace_eps1e-6,,ordered_nonoverlap,9,all,all,ordered_control,0.4774305555555556,0.4774305555555556,15.249886287841946,0.23056265292689204,0.000400282383553632,0,4608,576,False
loso,no_ra,W2,oas_trace_eps1e-6,0.0,mean_std_projection_moments,9,all,all,B5,0.5086805555555556,0.5086805555555556,0.16682105301879346,0.002472104039043188,4.291847290005535e-06,0,4608,576,False
loso,no_ra,W2,oas_trace_eps1e-6,0.0,exact_sorted_order_statistics,9,all,all,P2,0.4652777777777778,0.4652777777777778,0.4867959460243583,0.004325278103351593,7.509163373874293e-06,0,4608,576,False
loso,no_ra,W2,oas_trace_eps1e-6,0.0,pooled_class_measure,9,all,all,P1,0.2725694444444444,0.2725694444444444,0.03939096606336534,6.110618381993845,0.010608712468739314,0,4608,576,False
loso,no_ra,W2,oas_trace_eps1e-6,1.0,mean_std_projection_moments,9,all,all,B5,0.46875,0.46875,0.16433538496494293,0.002904798835515976,5.043053533881903e-06,0,4608,576,False
loso,no_ra,W2,oas_trace_eps1e-6,1.0,exact_sorted_order_statistics,9,all,all,P2,0.4704861111111111,0.47048611111111105,0.5091790209989995,0.003852247027680278,6.687928867500483e-06,0,4608,576,False
loso,no_ra,W2,oas_trace_eps1e-6,1.0,pooled_class_measure,9,all,all,P1,0.2586805555555556,0.2586805555555556,0.03728589811362326,5.720037220977247,0.00993062017530772,0,4608,576,False
loso,no_ra,W2,oas_trace_eps1e-6,2.0,mean_std_projection_moments,9,all,all,B5,0.4826388888888889,0.48263888888888884,0.136942305136472,0.0021899540442973375,3.802003549127322e-06,0,4608,576,False
loso,no_ra,W2,oas_trace_eps1e-6,2.0,exact_sorted_order_statistics,9,all,all,P2,0.4895833333333333,0.4895833333333333,0.4905922538600862,0.004258118104189634,7.392566153107004e-06,0,4608,576,False
loso,no_ra,W2,oas_trace_eps1e-6,2.0,pooled_class_measure,9,all,all,P1,0.2864583333333333,0.2864583333333333,0.042576493229717016,5.197031157789752,0.00902262353782943,0,4608,576,False
loso,no_ra,W2,oas_trace_eps1e-6,3.0,mean_std_projection_moments,9,all,all,B5,0.4756944444444444,0.4756944444444444,0.15536190383136272,0.0021290660370141268,3.6962952031495256e-06,0,4608,576,False
loso,no_ra,W2,oas_trace_eps1e-6,3.0,exact_sorted_order_statistics,9,all,all,P2,0.4774305555555556,0.4774305555555556,0.45667197299189866,0.0037503670901060104,6.511053975878491e-06,0,4608,576,False
loso,no_ra,W2,oas_trace_eps1e-6,3.0,pooled_class_measure,9,all,all,P1,0.3038194444444444,0.3038194444444444,0.03603562503121793,5.221075820969418,0.009064367744738573,0,4608,576,False
loso,no_ra,W2,oas_trace_eps1e-6,4.0,mean_std_projection_moments,9,all,all,B5,0.4826388888888889,0.4826388888888889,0.13735838886350393,0.0020186309702694416,3.5045676567177807e-06,0,4608,576,False
loso,no_ra,W2,oas_trace_eps1e-6,4.0,exact_sorted_order_statistics,9,all,all,P2,0.4565972222222222,0.4565972222222222,0.4747420661151409,0.004174001980572939,7.246531216272463e-06,0,4608,576,False
loso,no_ra,W2,oas_trace_eps1e-6,4.0,pooled_class_measure,9,all,all,P1,0.2673611111111111,0.2673611111111111,0.036036869045346975,5.327084466116503,0.009248410531452263,0,4608,576,False
