protocol,ra_mode,window_setting,covariance_estimator,bank_seed,aggregation,subject,session_train,session_test,method,accuracy,balanced_accuracy,classifier_or_pooled_measure_fitting_time_seconds,inference_time_seconds,amortized_inference_seconds_per_trial,fold_id,n_train_trials,n_test_trials,transductive_calibration
loso,subject_ra,W2,oas_trace_eps1e-6,,trial_tangent,6,all,all,B1,0.3888888888888889,0.38888888888888884,3.4746207629796118,0.04650053987279534,8.073010394582525e-05,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,,airm_nearest_class_mean,6,all,all,B2,0.3333333333333333,0.33333333333333337,2.4988830250222236,0.18441967712715268,0.0003201730505679734,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,,mean_decision_score,6,all,all,B3,0.4357638888888889,0.43576388888888895,14.373269435949624,0.24575884896330535,0.0004266646683390718,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,,majority_vote_secondary,6,all,all,B3_majority,0.3836805555555556,0.3836805555555556,0.0,0.0,0.0,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,,mean_window_log_svec,6,all,all,B4,0.4131944444444444,0.4131944444444444,0.11356667894870043,0.0014426629059016705,2.5046231005237332e-06,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,,ordered_nonoverlap,6,all,all,ordered_control,0.421875,0.421875,15.867757349042222,0.22094046394340694,0.0003835771943461926,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,0.0,mean_std_projection_moments,6,all,all,B5,0.4131944444444444,0.4131944444444444,0.1557994349859655,0.002613893011584878,4.538008700668191e-06,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,0.0,exact_sorted_order_statistics,6,all,all,P2,0.3854166666666667,0.38541666666666663,0.5192275119479746,0.004288636147975922,7.445548868013753e-06,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,0.0,pooled_class_measure,6,all,all,P1,0.3628472222222222,0.3628472222222222,0.03923224681057036,6.905756141059101,0.011989159967116494,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,1.0,mean_std_projection_moments,6,all,all,B5,0.3975694444444444,0.3975694444444444,0.16093765199184418,0.002374727977439761,4.122791627499585e-06,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,1.0,exact_sorted_order_statistics,6,all,all,P2,0.4131944444444444,0.4131944444444444,0.48786324984394014,0.004450646927580237,7.726817582604579e-06,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,1.0,pooled_class_measure,6,all,all,P1,0.3680555555555556,0.3680555555555556,0.0397172961384058,5.7898409210611135,0.010051807154619988,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,2.0,mean_std_projection_moments,6,all,all,B5,0.3958333333333333,0.39583333333333337,0.1453648330643773,0.002180415904149413,3.7854442780371755e-06,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,2.0,exact_sorted_order_statistics,6,all,all,P2,0.3819444444444444,0.3819444444444445,0.47396522387862206,0.003659419948235154,6.353159632352698e-06,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,2.0,pooled_class_measure,6,all,all,P1,0.34375,0.34375,0.03740143496543169,5.5673306009266526,0.00966550451549766,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,3.0,mean_std_projection_moments,6,all,all,B5,0.4114583333333333,0.4114583333333333,0.1586345040705055,0.0026877501513808966,4.666232901702945e-06,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,3.0,exact_sorted_order_statistics,6,all,all,P2,0.4149305555555556,0.4149305555555555,0.48974233004264534,0.0040876599960029125,7.096631937505056e-06,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,3.0,pooled_class_measure,6,all,all,P1,0.3559027777777778,0.3559027777777778,0.03828456089831889,5.942896921187639,0.010317529377061874,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,4.0,mean_std_projection_moments,6,all,all,B5,0.4166666666666667,0.4166666666666667,0.16112207691185176,0.002401321893557906,4.168961620760254e-06,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,4.0,exact_sorted_order_statistics,6,all,all,P2,0.4079861111111111,0.40798611111111116,0.476729323156178,0.004134817980229855,7.178503437899053e-06,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,4.0,pooled_class_measure,6,all,all,P1,0.375,0.375,0.03895720117725432,5.8986340060364455,0.010240684038257718,0,4608,576,True
