protocol,ra_mode,window_setting,covariance_estimator,bank_seed,aggregation,subject,session_train,session_test,method,accuracy,balanced_accuracy,classifier_or_pooled_measure_fitting_time_seconds,inference_time_seconds,amortized_inference_seconds_per_trial,fold_id,n_train_trials,n_test_trials,transductive_calibration
loso,subject_ra,W2,oas_trace_eps1e-6,,trial_tangent,9,all,all,B1,0.5642361111111112,0.5642361111111112,3.27643322898075,0.051470912992954254,8.935922394610113e-05,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,,airm_nearest_class_mean,9,all,all,B2,0.5746527777777778,0.5746527777777777,2.5363226770423353,0.19449334009550512,0.0003376620487769186,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,,mean_decision_score,9,all,all,B3,0.4913194444444444,0.4913194444444445,14.295762015972286,0.2689381290692836,0.00046690647407861735,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,,majority_vote_secondary,9,all,all,B3_majority,0.4774305555555556,0.4774305555555555,0.0,0.0,0.0,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,,mean_window_log_svec,9,all,all,B4,0.5017361111111112,0.5017361111111112,0.10242460900917649,0.00169540592469275,2.943413063702691e-06,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,,ordered_nonoverlap,9,all,all,ordered_control,0.5572916666666666,0.5572916666666667,15.143399576889351,0.21212473884224892,0.00036827211604557105,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,0.0,mean_std_projection_moments,9,all,all,B5,0.5381944444444444,0.5381944444444444,0.13603513990528882,0.0021854171063750982,3.794126920790101e-06,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,0.0,exact_sorted_order_statistics,9,all,all,P2,0.5,0.5,0.44644255517050624,0.003976213047280908,6.9031476515293534e-06,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,0.0,pooled_class_measure,9,all,all,P1,0.5399305555555556,0.5399305555555556,0.037340163020417094,5.053621775936335,0.008773648916556138,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,1.0,mean_std_projection_moments,9,all,all,B5,0.5208333333333334,0.5208333333333334,0.14357717498205602,0.002337242942303419,4.057713441498991e-06,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,1.0,exact_sorted_order_statistics,9,all,all,P2,0.484375,0.484375,0.4534293587785214,0.0037330230697989464,6.48094282951206e-06,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,1.0,pooled_class_measure,9,all,all,P1,0.4670138888888889,0.4670138888888889,0.03688374091871083,5.127962999977171,0.008902713541627034,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,2.0,mean_std_projection_moments,9,all,all,B5,0.5138888888888888,0.513888888888889,0.13106147293001413,0.0021482929587364197,3.729675275584062e-06,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,2.0,exact_sorted_order_statistics,9,all,all,P2,0.5381944444444444,0.5381944444444444,0.4501371858641505,0.003683367045596242,6.394734454160142e-06,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,2.0,pooled_class_measure,9,all,all,P1,0.4965277777777778,0.49652777777777773,0.0369095909409225,4.833865670952946,0.008392127900959976,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,3.0,mean_std_projection_moments,9,all,all,B5,0.5347222222222222,0.5347222222222222,0.13330813706852496,0.0020783080253750086,3.6081736551649456e-06,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,3.0,exact_sorted_order_statistics,9,all,all,P2,0.4826388888888889,0.48263888888888884,0.4449027560185641,0.0036427059676498175,6.3241423049476e-06,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,3.0,pooled_class_measure,9,all,all,P1,0.53125,0.53125,0.03575410298071802,4.7603278460446745,0.008264458066049783,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,4.0,mean_std_projection_moments,9,all,all,B5,0.5833333333333334,0.5833333333333334,0.13292404194362462,0.0020175380632281303,3.5026702486599484e-06,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,4.0,exact_sorted_order_statistics,9,all,all,P2,0.5260416666666666,0.5260416666666667,0.42556812101975083,0.0033956130500882864,5.895161545292164e-06,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,4.0,pooled_class_measure,9,all,all,P1,0.5329861111111112,0.5329861111111112,0.03449079394340515,4.821235869079828,0.008370201161596924,0,4608,576,True
