protocol,ra_mode,window_setting,covariance_estimator,bank_seed,aggregation,subject,session_train,session_test,method,accuracy,balanced_accuracy,classifier_or_pooled_measure_fitting_time_seconds,inference_time_seconds,amortized_inference_seconds_per_trial,fold_id,n_train_trials,n_test_trials,transductive_calibration
loso,subject_ra,W2,oas_trace_eps1e-6,,trial_tangent,2,all,all,B1,0.28125,0.28125,3.3839008319191635,0.05006637587212026,8.692079144465324e-05,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,,airm_nearest_class_mean,2,all,all,B2,0.2690972222222222,0.2690972222222222,2.5944313548970968,0.18641298520378768,0.00032363365486768697,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,,mean_decision_score,2,all,all,B3,0.3194444444444444,0.3194444444444444,13.328022036002949,0.20872214110568166,0.0003623648283084751,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,,majority_vote_secondary,2,all,all,B3_majority,0.3125,0.3125,0.0,0.0,0.0,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,,mean_window_log_svec,2,all,all,B4,0.3003472222222222,0.3003472222222222,0.08821877394802868,0.001152571989223361,2.0009930368461128e-06,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,,ordered_nonoverlap,2,all,all,ordered_control,0.359375,0.359375,14.869325903011486,0.2303178331349045,0.00039985734919254255,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,0.0,mean_std_projection_moments,2,all,all,B5,0.296875,0.296875,0.16843006014823914,0.0027495059184730053,4.773447775126745e-06,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,0.0,exact_sorted_order_statistics,2,all,all,P2,0.296875,0.296875,0.5500634838826954,0.004562321817502379,7.92069759983052e-06,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,0.0,pooled_class_measure,2,all,all,P1,0.2743055555555556,0.2743055555555556,0.04791066003963351,7.198123734910041,0.012496742595329933,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,1.0,mean_std_projection_moments,2,all,all,B5,0.2690972222222222,0.2690972222222222,0.15680161910131574,0.002539666835218668,4.409143811143521e-06,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,1.0,exact_sorted_order_statistics,2,all,all,P2,0.296875,0.296875,0.5237444180529565,0.004616943886503577,8.015527580735377e-06,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,1.0,pooled_class_measure,2,all,all,P1,0.25,0.25,0.04152090009301901,7.352501414017752,0.012764759399336375,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,2.0,mean_std_projection_moments,2,all,all,B5,0.2864583333333333,0.28645833333333337,0.1691337290685624,0.002627453999593854,4.561552082628219e-06,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,2.0,exact_sorted_order_statistics,2,all,all,P2,0.2899305555555556,0.2899305555555556,0.5458963019773364,0.004600893007591367,7.987661471512789e-06,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,2.0,pooled_class_measure,2,all,all,P1,0.2708333333333333,0.27083333333333337,0.04519706987775862,7.251794734969735,0.012589921414878013,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,3.0,mean_std_projection_moments,2,all,all,B5,0.2847222222222222,0.2847222222222222,0.17710705287754536,0.0026018719654530287,4.517138828911508e-06,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,3.0,exact_sorted_order_statistics,2,all,all,P2,0.28125,0.28125,0.5448886868543923,0.004629000090062618,8.036458489692046e-06,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,3.0,pooled_class_measure,2,all,all,P1,0.24131944444444445,0.24131944444444442,0.04895617603324354,7.426010876893997,0.012892379994607635,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,4.0,mean_std_projection_moments,2,all,all,B5,0.3020833333333333,0.30208333333333337,0.169652896001935,0.0025761660654097795,4.4725105302253114e-06,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,4.0,exact_sorted_order_statistics,2,all,all,P2,0.2916666666666667,0.29166666666666663,0.5102137092035264,0.004543201066553593,7.887501851655543e-06,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,4.0,pooled_class_measure,2,all,all,P1,0.2309027777777778,0.23090277777777776,0.04740694793872535,6.162605443969369,0.010698967784669043,0,4608,576,True
