protocol,ra_mode,window_setting,covariance_estimator,bank_seed,aggregation,subject,session_train,session_test,method,accuracy,balanced_accuracy,classifier_or_pooled_measure_fitting_time_seconds,inference_time_seconds,amortized_inference_seconds_per_trial,fold_id,n_train_trials,n_test_trials,transductive_calibration
loso,subject_ra,W1,oas_trace_eps1e-6,,trial_tangent,5,all,all,B1,0.3715277777777778,0.3715277777777778,3.5844107209704816,0.0474409400485456,8.236274313983611e-05,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,,airm_nearest_class_mean,5,all,all,B2,0.3541666666666667,0.35416666666666663,2.71874119900167,0.1778587109874934,0.00030878248435328715,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,,mean_decision_score,5,all,all,B3,0.3263888888888889,0.3263888888888889,24.985409934073687,0.4058523988351226,0.0007046048590887545,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,,majority_vote_secondary,5,all,all,B3_majority,0.3090277777777778,0.3090277777777778,0.0,0.0,0.0,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,,mean_window_log_svec,5,all,all,B4,0.3125,0.3125,0.09438177500851452,0.0014082251582294703,2.444835344148386e-06,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,0.0,mean_std_projection_moments,5,all,all,B5,0.3298611111111111,0.3298611111111111,0.15145586687140167,0.002247287891805172,3.901541478828423e-06,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,0.0,exact_sorted_order_statistics,5,all,all,P2,0.3333333333333333,0.33333333333333337,1.7460628440603614,0.006885444978252053,1.1953897531687593e-05,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,0.0,pooled_class_measure,5,all,all,P1,0.3194444444444444,0.3194444444444444,0.0687746680341661,11.14133181492798,0.019342589956472186,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,1.0,mean_std_projection_moments,5,all,all,B5,0.3350694444444444,0.3350694444444445,0.16352009889669716,0.0026281161699444056,4.56270168393126e-06,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,1.0,exact_sorted_order_statistics,5,all,all,P2,0.3315972222222222,0.3315972222222222,1.9135234919376671,0.008234485983848572,1.4295982610848216e-05,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,1.0,pooled_class_measure,5,all,all,P1,0.2881944444444444,0.2881944444444444,0.07828911999240518,11.277553252875805,0.01957908550846494,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,2.0,mean_std_projection_moments,5,all,all,B5,0.3385416666666667,0.3385416666666667,0.16201482596807182,0.0025442270562052727,4.4170608614674875e-06,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,2.0,exact_sorted_order_statistics,5,all,all,P2,0.3194444444444444,0.3194444444444444,1.8362620768602937,0.007046019192785025,1.2232672209696224e-05,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,2.0,pooled_class_measure,5,all,all,P1,0.3246527777777778,0.3246527777777778,0.07292632083408535,12.301805473864079,0.021357301169902913,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,3.0,mean_std_projection_moments,5,all,all,B5,0.3315972222222222,0.3315972222222222,0.16741387313231826,0.0024841539561748505,4.312767285025782e-06,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,3.0,exact_sorted_order_statistics,5,all,all,P2,0.3038194444444444,0.3038194444444444,1.8432696149684489,0.006498771952465177,1.1282590195252043e-05,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,3.0,pooled_class_measure,5,all,all,P1,0.3454861111111111,0.3454861111111111,0.06439690594561398,10.359221143880859,0.017984758930348715,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,4.0,mean_std_projection_moments,5,all,all,B5,0.3541666666666667,0.35416666666666663,0.14974912884645164,0.002582499058917165,4.483505310620078e-06,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,4.0,exact_sorted_order_statistics,5,all,all,P2,0.3107638888888889,0.3107638888888889,1.7858112819958478,0.007619054056704044,1.3227524404000076e-05,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,4.0,pooled_class_measure,5,all,all,P1,0.3454861111111111,0.34548611111111116,0.07639872003346682,10.833054506918415,0.01880738629673336,0,4608,576,True
