protocol,ra_mode,window_setting,covariance_estimator,bank_seed,aggregation,subject,session_train,session_test,method,accuracy,balanced_accuracy,classifier_or_pooled_measure_fitting_time_seconds,inference_time_seconds,amortized_inference_seconds_per_trial,fold_id,n_train_trials,n_test_trials,transductive_calibration
loso,subject_ra,W1,oas_trace_eps1e-6,,trial_tangent,9,all,all,B1,0.5642361111111112,0.5642361111111112,3.328617232851684,0.04993015783838928,8.668430180275916e-05,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,,airm_nearest_class_mean,9,all,all,B2,0.5746527777777778,0.5746527777777777,2.7213800789322704,0.20120365195907652,0.0003493118957622856,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,,mean_decision_score,9,all,all,B3,0.5,0.5,25.466737400973216,0.4203076858539134,0.0007297008434963775,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,,majority_vote_secondary,9,all,all,B3_majority,0.4878472222222222,0.48784722222222215,0.0,0.0,0.0,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,,mean_window_log_svec,9,all,all,B4,0.5260416666666666,0.5260416666666666,0.09908789210021496,0.0014707171358168125,2.553328360793077e-06,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,0.0,mean_std_projection_moments,9,all,all,B5,0.5677083333333334,0.5677083333333333,0.15471216896548867,0.002424716018140316,4.209576420382493e-06,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,0.0,exact_sorted_order_statistics,9,all,all,P2,0.5121527777777778,0.5121527777777777,1.8356787930242717,0.0070703299716115,1.2274878422936632e-05,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,0.0,pooled_class_measure,9,all,all,P1,0.5763888888888888,0.5763888888888888,0.07073054509237409,11.270314086927101,0.01956651751202622,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,1.0,mean_std_projection_moments,9,all,all,B5,0.5555555555555556,0.5555555555555556,0.14735558512620628,0.002392054069787264,4.152871648936222e-06,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,1.0,exact_sorted_order_statistics,9,all,all,P2,0.5104166666666666,0.5104166666666666,1.7478085039183497,0.007806284120306373,1.355257659775412e-05,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,1.0,pooled_class_measure,9,all,all,P1,0.4791666666666667,0.47916666666666663,0.07999035413376987,9.703962613129988,0.016847157314461784,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,2.0,mean_std_projection_moments,9,all,all,B5,0.5503472222222222,0.5503472222222222,0.151441102148965,0.002382531063631177,4.13633865213746e-06,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,2.0,exact_sorted_order_statistics,9,all,all,P2,0.5329861111111112,0.5329861111111112,1.6851093010045588,0.006629549898207188,1.1509635239943034e-05,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,2.0,pooled_class_measure,9,all,all,P1,0.5208333333333334,0.5208333333333333,0.0721929979044944,9.707548842998222,0.016853383407983022,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,3.0,mean_std_projection_moments,9,all,all,B5,0.5538194444444444,0.5538194444444444,0.14278358593583107,0.0021542608737945557,3.7400362392266593e-06,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,3.0,exact_sorted_order_statistics,9,all,all,P2,0.4965277777777778,0.4965277777777778,1.6911263628862798,0.005568559048697352,9.667637237321793e-06,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,3.0,pooled_class_measure,9,all,all,P1,0.5416666666666666,0.5416666666666666,0.07318975497037172,8.943224061978981,0.015526430663157953,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,4.0,mean_std_projection_moments,9,all,all,B5,0.5989583333333334,0.5989583333333333,0.13699611299671233,0.002042589010670781,3.5461614768589952e-06,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,4.0,exact_sorted_order_statistics,9,all,all,P2,0.5364583333333334,0.5364583333333334,1.6951480461284518,0.005426778923720121,9.4214911870141e-06,0,4608,576,True
loso,subject_ra,W1,oas_trace_eps1e-6,4.0,pooled_class_measure,9,all,all,P1,0.5659722222222222,0.5659722222222222,0.06068830285221338,8.194550978951156,0.014226651005123535,0,4608,576,True
