protocol,ra_mode,window_setting,covariance_estimator,bank_seed,aggregation,subject,session_train,session_test,method,accuracy,balanced_accuracy,classifier_or_pooled_measure_fitting_time_seconds,inference_time_seconds,amortized_inference_seconds_per_trial,fold_id,n_train_trials,n_test_trials,transductive_calibration
loso,no_ra,W2,oas_trace_eps1e-6,,trial_tangent,5,all,all,B1,0.2569444444444444,0.2569444444444445,3.9000277728773654,0.05128035298548639,8.902839059980276e-05,0,4608,576,False
loso,no_ra,W2,oas_trace_eps1e-6,,airm_nearest_class_mean,5,all,all,B2,0.25,0.25,3.0788914719596505,0.21900601591914892,0.0003802187776374113,0,4608,576,False
loso,no_ra,W2,oas_trace_eps1e-6,,mean_decision_score,5,all,all,B3,0.2604166666666667,0.2604166666666667,14.85304355318658,0.22499973908998072,0.00039062454703121655,0,4608,576,False
loso,no_ra,W2,oas_trace_eps1e-6,,majority_vote_secondary,5,all,all,B3_majority,0.2552083333333333,0.25520833333333337,0.0,0.0,0.0,0,4608,576,False
loso,no_ra,W2,oas_trace_eps1e-6,,mean_window_log_svec,5,all,all,B4,0.2569444444444444,0.2569444444444444,0.10115913115441799,0.001482684165239334,2.574104453540511e-06,0,4608,576,False
loso,no_ra,W2,oas_trace_eps1e-6,,ordered_nonoverlap,5,all,all,ordered_control,0.2621527777777778,0.2621527777777778,15.25666666496545,0.2018381010275334,0.00035041336983946775,0,4608,576,False
loso,no_ra,W2,oas_trace_eps1e-6,0.0,mean_std_projection_moments,5,all,all,B5,0.2534722222222222,0.2534722222222222,0.1457839240320027,0.002233685925602913,3.877926954171724e-06,0,4608,576,False
loso,no_ra,W2,oas_trace_eps1e-6,0.0,exact_sorted_order_statistics,5,all,all,P2,0.2604166666666667,0.2604166666666667,0.47602038993500173,0.003809696063399315,6.6140556656238105e-06,0,4608,576,False
loso,no_ra,W2,oas_trace_eps1e-6,0.0,pooled_class_measure,5,all,all,P1,0.25,0.25,0.03706068987958133,5.519830286968499,0.009583038692653645,0,4608,576,False
loso,no_ra,W2,oas_trace_eps1e-6,1.0,mean_std_projection_moments,5,all,all,B5,0.2482638888888889,0.24826388888888887,0.13493435503914952,0.002016820013523102,3.5014236345887184e-06,0,4608,576,False
loso,no_ra,W2,oas_trace_eps1e-6,1.0,exact_sorted_order_statistics,5,all,all,P2,0.2534722222222222,0.2534722222222222,0.4472713549621403,0.003683383809402585,6.394763557990599e-06,0,4608,576,False
loso,no_ra,W2,oas_trace_eps1e-6,1.0,pooled_class_measure,5,all,all,P1,0.25,0.25,0.03679989604279399,5.017863828921691,0.008711569147433491,0,4608,576,False
loso,no_ra,W2,oas_trace_eps1e-6,2.0,mean_std_projection_moments,5,all,all,B5,0.2534722222222222,0.2534722222222222,0.13084752904251218,0.001999797997996211,3.4718715242989774e-06,0,4608,576,False
loso,no_ra,W2,oas_trace_eps1e-6,2.0,exact_sorted_order_statistics,5,all,all,P2,0.2690972222222222,0.2690972222222222,0.433282382087782,0.003341080853715539,5.8004875932561444e-06,0,4608,576,False
loso,no_ra,W2,oas_trace_eps1e-6,2.0,pooled_class_measure,5,all,all,P1,0.25,0.25,0.03500939789228141,4.9069353439845145,0.008518984972195338,0,4608,576,False
loso,no_ra,W2,oas_trace_eps1e-6,3.0,mean_std_projection_moments,5,all,all,B5,0.2552083333333333,0.2552083333333333,0.13454471691511571,0.0023858570493757725,4.142112932944049e-06,0,4608,576,False
loso,no_ra,W2,oas_trace_eps1e-6,3.0,exact_sorted_order_statistics,5,all,all,P2,0.2569444444444444,0.2569444444444444,0.4565596771426499,0.004320501117035747,7.500869994853727e-06,0,4608,576,False
loso,no_ra,W2,oas_trace_eps1e-6,3.0,pooled_class_measure,5,all,all,P1,0.2534722222222222,0.2534722222222222,0.03774764807894826,6.018197952071205,0.010448260333456952,0,4608,576,False
loso,no_ra,W2,oas_trace_eps1e-6,4.0,mean_std_projection_moments,5,all,all,B5,0.2621527777777778,0.2621527777777778,0.16725397389382124,0.0023648040369153023,4.105562564089067e-06,0,4608,576,False
loso,no_ra,W2,oas_trace_eps1e-6,4.0,exact_sorted_order_statistics,5,all,all,P2,0.2586805555555556,0.2586805555555556,0.4865600678604096,0.003879114054143429,6.734573010665675e-06,0,4608,576,False
loso,no_ra,W2,oas_trace_eps1e-6,4.0,pooled_class_measure,5,all,all,P1,0.2517361111111111,0.2517361111111111,0.03731620917096734,6.098616725066677,0.010587876258796314,0,4608,576,False
